Release,Gross,Theaters,Release Date,Info_url,uid,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
Living,"$2,984,305",644,Dec 23,/release/rl3218244353/?ref_=bo_yld_table_157,tt9051908,"$22,784",3,7.2,32058,,
Jurassic Park2023 Re-release (30th Anniversary),"$2,970,355","1,224",Aug 25,/release/rl94995201/?ref_=bo_yld_table_158,tt0107290,"$1,702,955","1,224",8.2,1061801,unknown,unknown
The Menu,"$2,779,574","3,228",Nov 18,/release/rl2839380737/?ref_=bo_yld_table_159,tt9764362,"$9,004,957","3,211",7.2,386839,76,88
Tu Jhoothi Main Makkaar,"$2,503,604",400,Mar 8,/release/rl3657270017/?ref_=bo_yld_table_160,tt8672856,"$959,688",400,6.0,27270,62,33
Come Out in Jesus Name,"$2,500,574","1,047",Mar 13,/release/rl4035412737/?ref_=bo_yld_table_161,tt27002406,unknown,unknown,5.5,2908,95,
The Miracle Club,"$2,377,438",677,Jul 14,/release/rl983663361/?ref_=bo_yld_table_162,tt12712604,"$664,607",677,6.3,3078,83,66
A Good Person,"$2,210,465",687,Mar 24,/release/rl566723329/?ref_=bo_yld_table_163,tt14153080,"$832,007",530,7.1,21333,96,58
Moving On,"$2,136,832",794,Mar 17,/release/rl1374716673/?ref_=bo_yld_table_164,tt15488088,"$821,961",794,5.9,2651,,100
Skinamarink,"$2,052,272",809,Jan 13,/release/rl2767291137/?ref_=bo_yld_table_165,tt21307994,"$818,943",692,4.8,15382,44,72
Die Hard2023 Re-release,"$2,048,453","1,355",Dec 8,/release/rl3108274177/?ref_=bo_yld_table_166,tt0095016,"$934,421","1,355",8.2,941673,unknown,unknown
Jules,"$1,924,922",780,Aug 11,/release/rl2325447425/?ref_=bo_yld_table_167,tt15428940,"$839,622",780,6.8,10112,90,85
